facilityName,Sido,Sigungu,eupmyondong,fullAddress,latitude,longitude,phoneNumber,websiteUrl,midTempCode,midWeatherCode,x,y,imgUrl
경주 패러레저 테크,경상북도,경주시,효현동,경북 경주시 효현동 1066,35.8218626,129.1571928,0507-1364-2680,https://open.kakao.com/o/s71aZmKd,11H10202,11H10000,100.0,91.0,https://github.com/user-attachments/assets/353d23ff-b15f-4e3d-a3ec-b5fbdcbc08b8
경주패러글라이딩,경상북도,경주시,효현동,경북 경주시 효현동 1066,35.8218626,129.1571928,0507-1356-9666,https://blog.naver.com/leenwpower,11H10202,11H10000,100.0,91.0,https://github.com/user-attachments/assets/7dd06281-2d26-401e-a2b0-c2d9b509f1e4
문경활공랜드 패러글라이딩,경상북도,문경시,문경읍,경상북도 문경시 문경읍 활공장길 80,36.7364313,128.1540507,010-4690-4675,https://www.flyingland.net/main/index.php,11H10301,11H10000,81.0,106.0,https://github.com/user-attachments/assets/33377f35-e1b0-4db7-bc9a-4cb8493e87b0
문경패러글라이딩,경상북도,문경시,문경읍,경북 문경시 문경읍 활공장길 122 문경패러글라이딩,36.7379561,128.1582579,0507-1351-4675,https://flyingland.co.kr,11H10301,11H10000,81.0,106.0,https://github.com/user-attachments/assets/03f59462-2110-46c3-abf7-e065c80c3390
상주활공랜드,경상북도,상주시,만산동,경상북도 상주시 상산로 448,36.4309044,128.1581713,054-535-0072,http://xn--vl2b239atvey2c.com/,11H10302,11H10000,81.0,102.0,https://github.com/user-attachments/assets/720b3633-07d1-431f-8ad4-667f536ba8c5
패러글라이딩 체험 센터,경상북도,포항시,흥해읍,경상북도 포항시 북구 흥해읍 해안로 1366-42,36.1311275,129.3988102,0507-1490-1335,http://www.phpara.com/,11H10201,11H10000,102.0,94.0,https://github.com/user-attachments/assets/e4f037a2-7aae-4a8c-a8c0-fd13d68d65c6
광주패러글라이딩,광주광역시,북구,문흥동,광주광역시 북구 문산로74번길 24,35.1870963,126.9260772,0507-1431-5058,https://cafe.naver.com/para2013,11B20702,11F20000,96.0,76.0,https://github.com/user-attachments/assets/207360f4-1066-4356-a908-bb07c1447f64
대구활공랜드,대구광역시,달성군,현풍읍,대구광역시 달성군 현풍읍 비슬로134길 125,35.6968497,128.4446055,053-755-1336,http://www.대구활공랜드.com,11H10701,11H10000,86.0,88.0,https://github.com/user-attachments/assets/2b008d5a-7f2d-4890-9ef0-dfe8ca42a595
대구 패러글라이딩,대구광역시,달성군,현풍읍,대구 달성군 현풍읍 국가산단대로70길 41,35.6625303,128.4202218,0507-1467-0305,https://blog.naver.com/daegupara,11H10701,11H10000,86.0,88.0,https://github.com/user-attachments/assets/37a8405d-e379-4d01-9f63-f9e7172bf790
빅버드 패러글라이딩 스쿨,대구광역시,달성군,현풍읍,대구 달성군 현풍읍 오산리 28,35.6892333,128.4174415,010-8949-0540,https://www.bigbirdpara.co.kr/,11H10701,11H10000,86.0,88.0,https://github.com/user-attachments/assets/79eb6a44-954b-45d7-a4b6-72cc9eba8dcd
블루윙스,대구광역시,수성구,상동,대구광역시 수성구 수성로 24,35.8276114,128.6108293,0507-1404-8277,,11H10701,11H10000,89.0,90.0,https://github.com/user-attachments/assets/666c257c-1ba4-439a-8762-38d45e9d761f
대전패러글라이딩 휘파람새스쿨,대전광역시,동구,판암동,대전광역시 동구 동부로 86,36.3218882,127.4619519,0507-1403-8058,https://cafe.daum.net/works5752,11H10701,11H10000,98.0,75.0,https://github.com/user-attachments/assets/7519500a-696f-48ae-962c-5b653d834d1d
부산 패러글라이딩학교,부산광역시,금정구,구서동,부산광역시 금정구 금정로 224,35.2437715,129.0905587,051-515-6870,https://www.instagram.com/eomhoseog9/,11H20201,11H20000,98.0,77.0,https://github.com/user-attachments/assets/7c3ae213-628d-4fca-b6dc-4289ce6efa88
레저월드,부산광역시,남구,용당동,부산광역시 남구 신선로 406,35.1213657,129.0993342,051-628-3855,http://flysports.eplusmobile.kr/,11H20201,11H20000,98.0,75.0,https://github.com/user-attachments/assets/f7845a5b-f3bf-4f46-a0e5-58080cfd6044
항공시대,서울특별시,동대문구,용두동,서울 동대문구 왕산로22길 69,37.5759102,127.0320139,02-929-9296,,11B10101,11B00000,61.0,127.0,https://github.com/user-attachments/assets/def26c53-5fb1-40f6-9497-8effe65a0aa2
서울 패러글라이딩,서울특별시,송파구,오금동,서울 송파구 동남로29길 11,37.5051499,127.1374938,02-3401-9322,,11B10101,11B00000,62.0,126.0,https://github.com/user-attachments/assets/b0c63f2d-17d8-4a38-981f-a7eb66421cdf
플라이포커스 패러글라이딩 스쿨,서울특별시,중구,을지로동,서울특별시 중구 을지로 227 훈련원공원,37.5673407,127.0037725,02-2679-8049,,11B10101,11B00000,60.0,127.0,https://github.com/user-attachments/assets/6f276d2e-adae-4e31-b119-f5bf8db71d47
울산패러파크,울산광역시,울주군,두서면,울산 울주군 두서면 찻골로 219 울산패러파크,35.631438,129.1265395,0507-1347-7894,https://smartstore.naver.com/ulsanparapark,11H20101,11H20000,101.0,84.0,https://github.com/user-attachments/assets/58bb2306-bc3a-411d-b5ca-5d9a11396ca7
곡성 패러글라이딩,전라남도,곡성군,오곡면,전남 곡성군 오곡면 덕산리 123-6,35.2667244,127.3087106,010-5847-7448,https://www.gspara.com/,11F20602,11F20000,66.0,77.0,https://github.com/user-attachments/assets/0ea93718-e5c1-47a7-b975-95923f225b2a
구례 지리산 패러글라이딩,전라남도,구례군,구례읍,전남 구례군 구례읍 봉동길 41,35.2099595,127.4720667,1599-2556,http://jirisanpara.co.kr/,11F20601,11F20000,69.0,75.0,https://github.com/user-attachments/assets/75154523-eb64-4a66-a61c-464ef458119b
담양 패러글라이딩,전라남도,담양군,창평면,전남 담양군 창평면 유천길 163,35.2188356,127.020839,0507-1364-3332,,11F20504,11F20000,61.0,78.0,https://github.com/user-attachments/assets/50e44c4c-d4b9-458d-b7b8-1cb929402bc7
여수 국가대표 패러글라이딩,전라남도,여수시,만흥동,전남 여수시 망양로 225 여수국가대표패러글라이딩,34.7744133,127.7446544,0507-1412-6541,http://www.sbpara.com/index.php,11F20401,11F20000,73.0,66.0,https://github.com/user-attachments/assets/e07fe794-0c86-4948-8282-662824f99a59
군산패러글라이딩스쿨,전라북도,군산시,성산면,전라북도 군산시 성산면 마동1길 5-22,35.9960451,126.7830315,010-8643-9848,http://www.gunsanpschool.com,21F10501,11F10000,56.0,92.0,https://github.com/user-attachments/assets/8449d83c-d2f1-442a-915d-3d2fe21daebc
무주패러글라이딩F1,전라북도,무주군,무주읍,전라북도 무주군 무주읍 내도로 373-30,36.0311845,127.6422077,0507-1474-8859,https://smartstore.naver.com/mujuf1/products/8079795506,11F10302,11F10000,72.0,93.0,https://github.com/user-attachments/assets/9cd6d07a-5e5c-4cca-8e8d-1119d08e9e81
전주패러글라이딩,전라북도,완주군,구이면,전북 완주군 구이면 덕평로 209 1동 2호,35.7416374,127.1416595,0507-1368-4151,,11F10204,11F10000,63.0,89.0,https://github.com/user-attachments/assets/8301882a-98f2-46a6-9bd0-fc744c1c3098
제주스카이랩,제주특별자치도,제주시,노형동,제주특별자치도 제주시 월산북길 77,33.4735526,126.4627945,010-4498-2676,https://smartstore.naver.com/jejuskylab,11G00201,11G00000,53.0,38.0,https://github.com/user-attachments/assets/4fe10172-0678-4088-86d8-a9beca1c4376
제주하늘을날다,제주특별자치도,제주시,도남동,제주특별자치도 제주시 도남로17길 32,33.491123,126.531661,010-9632-0422,https://cafe.daum.net/jejulovepara,11G00201,11G00000,53.0,38.0,https://github.com/user-attachments/assets/69d224c4-d7eb-408b-b5a0-da984a208217
제주바다하늘패러투어,제주특별자치도,제주시,한림읍,제주 제주시 한림읍 한창로 1295,33.3568837,126.2968554,010-3692-7345,https://www.visitjeju.net/kr/detail/view?contentsid=CNTS_300000000015892,11G00201,11G00000,53.0,38.0,https://github.com/user-attachments/assets/b28ca4a1-e690-4bf0-94a0-a80383242c00
대천국가대표패러글라이딩,충청남도,보령시,남포면,충청남도 보령시 남포면 창동1길 119-9,36.3198597,126.6125812,0507-1403-8364,,11C20201,11C20000,54.0,100.0,https://github.com/user-attachments/assets/c27e382d-16cd-4858-8305-33569c681ffb
대천 패러글라이딩,충청남도,보령시,남포면,충남 보령시 남포면 창동리 224-1,36.3201339,126.6121289,010-3045-2389,https://blog.naver.com/djr001,11C20201,11C20000,54.0,100.0,https://github.com/user-attachments/assets/2ff71a5c-ecd7-4b4d-96fb-e4d461237f48
다빈치 동력패러,충청남도,보령시,남포면,충남 보령시 남포면 삼현소송길 17,36.3089229,126.5631436,0507-1447-7680,https://blog.naver.com/l0533l,11C20201,11C20000,54.0,100.0,https://github.com/user-attachments/assets/7d551ee0-2fd4-40cc-b1cf-f71400eb39c4
보령활공랜드,충청남도,보령시,남포면,충남 보령시 남포면 창동1길 119-7 1층,36.3196917,126.612491,0507-1376-7403,,11C20201,11C20000,54.0,100.0,https://github.com/user-attachments/assets/b504f656-95ef-4d54-ac47-034f3a0d10a0
플라이하이 패러글라이딩스쿨,충청남도,청양군,정산면,충청남도 청양군 정산면 서정산정말길 13-3,36.4059695,126.9434252,0507-1408-8674,http://www.flyhighpara.com/,11C20502,11C20000,57.0,103.0,https://github.com/user-attachments/assets/64f9399a-71d9-44ac-a133-16aab4863acb
단양청춘패러,충청북도,단양군,가곡면,충청북도 단양군 가곡면 두산길 262,37.0022414,128.40072,010-6548-8226,https://www.youngpara.com/,11C10202,11C10000,84.0,115.0,https://github.com/user-attachments/assets/5b2bf946-d8cf-4e2b-933c-fae7b3b38866
단양패러명가,충청북도,단양군,가곡면,충청북도 단양군 가곡면 두산길 254-6,37.0016315,128.4007413,0507-1348-3326,https://smartstore.naver.com/dyprmg/products/2668566280,11C10202,11C10000,84.0,115.0,https://github.com/user-attachments/assets/5f80ed44-b191-4177-8fe1-9fb5fd573f29
스카이패러,충청북도,단양군,가곡면,충북 단양군 가곡면 두산길 196-52 스카이패러,36.9961876,128.3966743,0507-1463-2688,https://www.skyparaschool.com/,11C10202,11C10000,84.0,115.0,https://github.com/user-attachments/assets/dfda5df0-c972-4f17-b55e-2b6b89342ca5
코리아패러글라이딩,충청북도,단양군,가곡면,충청북도 단양군 가곡면 두산길 252,37.0014344,128.3998919,0507-1306-1162,https://smartstore.naver.com/koreaparagliding,11C10202,11C10000,84.0,115.0,https://github.com/user-attachments/assets/d7194b26-95da-440c-8c70-282924818ecb
단양패러마을,충청북도,단양군,가곡면,충북 단양군 가곡면 두산길 196-52 단양패러마을,36.9962448,128.396702,010-4412-3326,http://www.paravillage.com/,11C10202,11C10000,84.0,115.0,https://github.com/user-attachments/assets/447c3d4c-88d7-47fc-86d6-0af660422cae
패러일번지,충청북도,단양군,가곡면,충북 단양군 가곡면 두산길 196-86,36.9946004,128.3945166,0507-1409-2688,http://www.para1.co.kr,11C10202,11C10000,84.0,115.0,https://github.com/user-attachments/assets/6ff03c67-8f81-48c3-9035-a6aa7f2058ea
패러이야기,충청북도,단양군,가곡면,충북 단양군 가곡면 두산길 196-86 카페산제2주차장,36.9946004,128.3945166,0507-1430-2327,https://parastory.co.kr/,11C10202,11C10000,84.0,115.0,https://github.com/user-attachments/assets/49a3db67-3585-4dde-92c9-fbb172719786
더쎈패러글라이딩,충청북도,단양군,가곡면,충북 단양군 가곡면 두산길 262 더쎈패러글라이딩,37.0022414,128.40072,0507-1319-2676,http://thessenpara.com/,11C10202,11C10000,84.0,115.0,https://github.com/user-attachments/assets/1a6fb6e1-e436-4ca6-b974-0d8a687c33d1
패러에반하다,충청북도,단양군,가곡면,충북 단양군 가곡면 사평리 246-30,36.9942555,128.3948729,010-5822-9598,https://www.lovepara.kr/,11C10202,11C10000,84.0,115.0,https://github.com/user-attachments/assets/ec5f2ba2-6156-4922-a2f5-155b26e3f944
썬패러글라이딩,충청북도,단양군,가곡면,충북 단양군 가곡면 두산길 196-86 (주)썬패러글라이딩,36.9965305,128.3967963,0507-1489-7954,https://sunpara.co.kr/,11C10202,11C10000,84.0,115.0,https://github.com/user-attachments/assets/e14c3329-10d5-46f2-8ba2-55643925a06b
카페산 패러글라이딩,충청북도,단양군,가곡면,충북 단양군 가곡면 두산길 196-86,36.9946004,128.3945166,0507-1471-0456,https://www.instagram.com/sann_paragliding/,11C10202,11C10000,84.0,115.0,https://github.com/user-attachments/assets/efb95764-45f9-4c65-837e-2676fac9e1de
단양 패러글라이딩,충청북도,단양군,가곡면,충북 단양군 가곡면 두산길 196-54 패러마을,36.9962448,128.396702,010-7150-3326,http://www.dypara.com/,11C10202,11C10000,84.0,115.0,https://github.com/user-attachments/assets/22815ced-4e76-40e2-909f-4a9a60201816
짱패러글라이딩,충청북도,단양군,가곡면,충북 단양군 가곡면 두산길 254-6,37.0016315,128.4007413,0507-1308-2633,http://www.przzang.com/,11C10202,11C10000,84.0,115.0,https://github.com/user-attachments/assets/7e918912-5748-486f-88e2-fb2d748b99a0
패러는내친구,충청북도,단양군,가곡면,충북 단양군 가곡면 두산길 196-52,36.9965887,128.3966719,010-5310-5579,http://para79.kr,11C10202,11C10000,84.0,115.0,https://github.com/user-attachments/assets/33adf79a-42ce-46a9-abb9-bd7333b612d7
두산행복마을 협동조합,충청북도,단양군,가곡면,충북 단양군 가곡면 두산길 196-86 두산행복마을(패러일번지),36.9940625,128.3946828,010-7481-0079,https://www.bigbirdpara.co.kr/,11C10202,11C10000,84.0,115.0,https://github.com/user-attachments/assets/1a4a6e89-1af5-4d43-9822-d642dd880eae
단양레저,충청북도,단양군,단양읍,충청북도 단양군 단양읍 수변로 71-1,36.9818301,128.370703,043-423-4123,http://단양레저.kr,11C10202,11C10000,84.0,115.0,https://github.com/user-attachments/assets/bb15d1ae-034b-4482-818b-19426b38ee24
단양패러,충청북도,단양군,단양읍,충북 단양군 단양읍 별곡10길 3,36.9835446,128.3704599,0505-515-7788,http://www.danyangpara.com/,11C10202,11C10000,84.0,115.0,https://github.com/user-attachments/assets/d500b161-82cb-4bdf-a8b2-b47df5777a91
드림레저 패러글라이딩,충청북도,단양군,단양읍,충청북도 단양군 단양읍 수변로 59-1,36.9808638,128.3704035,0507-1368-0083,https://smartstore.naver.com/dreampara,11C10202,11C10000,84.0,115.0,https://github.com/user-attachments/assets/ccc4f4d0-3bc1-49db-bee8-ddef02aa4297
스카이랜드 패러글라이딩,충청북도,단양군,단양읍,충북 단양군 단양읍 수변로 65 1층,36.9812864,128.3705687,0507-1421-0542,https://smartstore.naver.com/skylandinc,11C10202,11C10000,84.0,115.0,https://github.com/user-attachments/assets/7dfd39a4-352b-417e-b896-35b300bb2228
청풍스카이랜드 패러글라이딩,충청북도,제천시,청풍면,충북 제천시 청풍면 문화재길 166-1 산 2-3,37.0080975,128.1457143,0507-1349-0568,,11C10201,11C10000,81.0,118.0,https://github.com/user-attachments/assets/6eb3b89d-152d-4160-9180-ba0173334b38
청주패러학교,충청북도,청주시,흥덕구,충북 청주시 흥덕구 가로수로 1336,36.6327487,127.4417174,010-7330-2626,,11C10301,11C10000,67.0,106.0,https://github.com/user-attachments/assets/220f198e-aa97-4261-90f2-19bcb176f79b
